Tamanho,Exec. Time,No Exec.,Total Stalls,Serial Stalls,Bad Spec,FE Bound,BE Bound,Branch MSP
1000000,2108862103,706.134.135,9.430.773.074,5.188.925.081,5.1,40.6,52.0,5.1
1000000,2087774454,700.930.675,9.340.906.863,5.128.860.167,5.1,40.6,52.0,5.1
1000000,2016424612,676.369.677,9.018.904.576,4.948.259.614,5.1,40.6,52.0,5.1
1000000,2086921793,700.587.981,9.343.040.515,5.130.473.863,5.1,40.6,52.0,5.1
1000000,2016569109,675.844.231,9.013.898.918,4.947.085.053,5.1,40.6,52.0,5.1
1000000,2087355621,701.321.013,9.333.444.743,5.125.388.558,5.1,40.6,52.0,5.1
1000000,1976237037,663.038.282,8.833.504.041,4.843.503.353,5.1,40.2,52.3,5.1
1000000,1963054795,657.427.939,8.772.384.091,4.807.922.003,5.1,40.6,52.0,5.1
1000000,1958080072,656.171.324,8.757.407.989,4.803.716.288,5.1,40.4,52.2,5.1
1000000,2079263019,696.938.325,9.294.907.456,5.109.357.969,5.1,40.6,52.0,5.1
1000000,2108580669,706.683.187,9.430.182.901,5.182.819.209,5.1,40.6,52.0,5.1
1000000,2100446736,705.113.735,9.384.677.196,5.156.961.006,5.1,40.6,52.0,5.1
1000000,2053831417,688.937.211,9.177.205.088,5.037.706.000,5.1,40.4,52.2,5.1
1000000,2011519039,673.372.033,8.997.375.860,4.940.937.051,5.1,40.6,52.0,5.1
1000000,2028868899,681.632.030,9.080.593.722,4.982.551.861,5.1,40.6,52.4,5.1
1000000,2184846887,732.765.821,9.772.808.519,5.376.102.116,5.1,40.8,51.8,5.1
1000000,2268982890,759.980.492,10.150.374.646,5.595.196.630,5.1,40.6,52.0,5.1
1000000,2190553397,735.486.071,9.804.130.131,5.398.308.224,5.1,40.6,51.6,5.1
1000000,2026223634,677.890.259,9.058.000.200,4.975.795.452,5.1,40.4,52.2,5.1
1000000,2040933388,684.368.201,9.127.274.406,5.011.466.501,4.7,41.2,51.8,4.7
1000000,2124601227,712.443.206,9.505.215.856,5.228.240.499,5.1,40.6,52.0,5.1
1000000,2246473170,751.596.829,10.052.613.150,5.546.776.025,5.1,40.4,52.2,5.1
1000000,2018606717,676.537.981,9.028.797.142,4.954.702.453,5.1,40.4,52.2,5.1
1000000,2044993335,687.312.389,9.165.658.776,5.038.841.633,5.1,40.6,51.6,5.1
1000000,2108070455,706.212.564,9.430.935.586,5.182.036.022,5.1,40.4,52.2,5.1
1000000,2155103631,721.452.719,9.642.013.075,5.304.486.181,5.1,40.6,52.0,5.1
1000000,2096873162,700.758.199,9.372.959.578,5.153.981.582,5.1,41.2,51.4,5.1
1000000,2055101491,688.819.087,9.202.367.292,5.050.582.309,5.1,40.6,52.0,5.1
1000000,2103261098,704.742.754,9.408.430.117,5.170.741.360,5.1,40.4,52.2,5.1
